,customer_id,gender,most_recent_order_date,order_count
0,1000,0,2017-01-01 00:11:31,1
1,1001,0,2017-01-01 00:29:56,1
2,1002,1,2017-02-19 21:35:31,3
3,1003,1,2017-04-26 02:37:20,4
4,1004,0,2017-01-01 03:11:54,1
5,1005,1,2017-12-16 01:39:27,2
6,1006,1,2017-05-09 15:27:20,3
7,1007,0,2017-01-01 15:59:50,1
8,1008,0,2017-12-17 05:47:48,3
9,1009,1,2017-01-01 19:27:17,1
10,1010,1,2017-04-28 13:31:11,2
11,1011,1,2017-01-01 22:04:54,1
12,1012,1,2017-01-01 22:08:16,1
13,1013,0,2017-01-01 23:51:58,1
14,1014,1,2017-01-02 00:28:42,1
15,1015,0,2017-09-21 19:58:04,4
16,1016,1,2017-01-02 01:24:13,1
17,1017,0,2017-01-02 02:08:52,2
18,1018,0,2017-01-23 01:34:52,2
19,1019,0,2017-01-02 02:17:03,1
20,1020,0,2017-04-03 02:42:42,3
21,1021,1,2017-03-14 00:14:21,2
22,1022,0,2017-01-02 03:36:59,1
23,1023,0,2017-03-04 21:15:18,4
24,1024,1,2017-01-02 05:19:48,1
25,1025,0,2017-05-11 19:57:33,3
26,1026,0,2017-01-02 14:52:06,1
27,1027,0,2017-01-02 15:49:44,1
28,1028,0,2017-01-22 22:27:15,2
29,1029,0,2017-01-02 17:01:25,1
30,1030,0,2017-01-02 17:37:26,1
31,1031,0,2017-01-02 17:57:04,1
32,1032,1,2017-01-02 18:23:06,1
33,1033,0,2017-01-02 18:54:17,1
34,1034,1,2017-05-12 18:36:33,6
35,1035,0,2017-01-02 20:01:31,1
36,1036,0,2017-04-06 15:16:08,2
37,1037,0,2017-03-24 22:18:12,2
38,1038,1,2017-01-02 21:29:41,1
39,1039,0,2017-09-12 00:15:45,4
40,1040,0,2017-01-02 22:54:55,1
41,1041,0,2017-01-02 23:25:26,1
42,1042,0,2017-01-02 23:57:53,1
43,1043,1,2017-06-09 17:30:01,3
44,1044,1,2017-01-03 01:47:44,1
45,1045,0,2017-04-11 23:15:30,4
46,1046,0,2017-04-02 20:12:34,2
47,1047,1,2017-01-18 03:46:53,2
48,1048,0,2017-01-19 20:44:51,2
49,1049,0,2017-01-03 14:32:13,1
50,1050,1,2017-01-03 15:27:29,1
51,1051,0,2017-01-03 16:47:01,1
52,1052,1,2017-04-24 15:27:34,4
53,1053,0,2017-05-14 14:39:14,3
54,1054,1,2017-08-15 17:27:53,3
55,1055,1,2017-01-03 19:18:56,1
56,1056,0,2017-01-03 19:40:04,1
57,1057,1,2017-01-03 19:45:37,1
58,1058,0,2017-01-14 00:56:13,2
59,1059,1,2017-01-03 20:38:51,1
60,1060,0,2017-01-03 21:14:09,2
61,1061,1,2017-01-03 21:06:06,1
62,1062,0,2017-03-21 17:32:47,2
63,1063,1,2017-04-18 01:13:06,3
64,1064,1,2017-01-03 21:49:20,1
65,1065,0,2017-01-03 22:15:57,1
66,1066,1,2017-05-18 13:18:03,2
67,1067,1,2017-04-11 19:43:41,3
68,1068,0,2017-01-03 22:53:18,1
69,1069,1,2017-01-23 07:07:32,3
70,1070,0,2017-01-03 23:52:55,1
71,1071,1,2017-02-24 02:29:36,2
72,1072,0,2017-01-04 01:07:03,1
73,1073,0,2017-01-04 01:16:54,1
74,1074,1,2017-05-17 03:01:47,8
75,1075,1,2017-05-05 21:14:56,5
76,1076,0,2017-01-17 17:49:25,3
77,1077,0,2017-01-04 03:12:43,1
78,1078,1,2017-01-04 03:36:39,1
79,1079,0,2017-01-04 03:44:32,1
80,1080,0,2017-03-08 14:49:48,2
81,1081,0,2017-01-04 04:34:23,1
82,1082,0,2017-01-04 05:32:21,1
83,1083,0,2017-01-04 10:49:08,1
84,1084,1,2017-01-04 12:02:50,1
85,1085,1,2017-01-04 12:47:41,1
86,1086,1,2017-01-04 13:56:55,1
87,1087,0,2017-01-04 15:49:28,1
88,1088,0,2017-01-04 16:20:46,1
89,1089,0,2017-01-04 16:36:01,1
90,1090,0,2017-01-04 19:15:46,1
91,1091,0,2017-04-04 23:09:16,3
92,1092,0,2017-01-04 19:39:58,1
93,1093,1,2017-01-04 19:50:25,1
94,1094,1,2017-02-24 02:01:40,2
95,1095,1,2017-05-01 19:35:52,6
96,1096,0,2017-04-17 15:12:55,3
97,1097,0,2017-01-04 23:04:30,1
98,1098,0,2017-01-04 23:47:38,1
99,1099,0,2017-01-05 00:55:53,1
100,1100,0,2017-01-05 01:06:23,1
101,1101,1,2017-06-30 22:04:42,10
102,1102,0,2017-01-07 23:15:32,2
103,1103,0,2017-01-05 04:38:15,1
104,1104,0,2017-01-05 04:47:15,1
105,1105,0,2017-01-05 05:29:10,1
106,1106,0,2017-01-05 13:59:34,1
107,1107,0,2017-08-16 15:38:40,3
108,1108,0,2017-01-05 17:17:47,1
109,1109,1,2017-01-05 18:00:10,1
110,1110,1,2017-01-05 18:59:23,1
111,1111,0,2017-02-03 14:21:29,2
112,1112,1,2017-01-05 20:03:24,1
113,1113,0,2017-01-05 21:11:35,1
114,1114,1,2017-01-05 21:41:11,1
115,1115,0,2017-08-16 00:08:26,2
116,1116,0,2017-07-15 17:23:52,4
117,1117,1,2017-01-05 23:45:05,1
118,1118,1,2017-01-06 00:21:22,1
119,1119,1,2017-03-23 01:10:44,2
120,1120,1,2017-01-06 01:14:57,1
121,1121,0,2017-01-06 01:17:37,1
122,1122,1,2017-01-06 01:18:55,1
123,1123,0,2017-01-06 01:20:30,1
124,1124,0,2017-01-06 01:58:01,1
125,1125,1,2017-01-06 02:00:36,1
126,1126,1,2017-01-06 02:36:57,1
127,1127,1,2017-04-19 20:39:40,3
128,1128,1,2017-01-06 04:36:16,1
129,1129,1,2017-02-22 06:02:07,2
130,1130,0,2017-01-06 06:38:02,1
131,1131,0,2017-03-31 19:48:32,2
132,1132,0,2017-02-16 17:30:06,2
133,1133,1,2017-07-29 09:48:47,3
134,1134,1,2017-01-31 17:21:41,3
135,1135,0,2017-11-25 14:10:57,6
136,1136,1,2017-04-12 20:41:13,2
137,1137,1,2017-05-21 21:53:09,4
138,1138,1,2017-01-06 19:55:36,1
139,1139,1,2017-01-06 20:10:12,1
140,1140,1,2017-01-06 20:27:43,1
141,1141,0,2017-01-06 20:51:15,1
142,1142,1,2017-01-06 21:27:31,1
143,1143,1,2017-04-27 00:56:04,4
144,1144,1,2017-01-06 23:54:34,1
145,1145,1,2017-10-20 16:54:23,5
146,1146,1,2017-01-07 02:22:34,1
147,1147,0,2017-01-30 22:59:30,3
148,1148,0,2017-01-07 04:26:30,1
149,1149,0,2017-01-22 07:19:31,2
150,1150,0,2017-01-07 12:39:35,1
151,1151,1,2017-01-07 13:56:40,1
152,1152,0,2017-06-20 10:08:58,2
153,1153,1,2017-01-07 14:56:08,1
154,1154,0,2017-01-15 23:01:14,2
155,1155,0,2017-04-13 21:53:23,5
156,1156,1,2017-01-07 16:23:08,1
157,1157,1,2017-01-07 16:32:35,1
158,1158,1,2017-01-07 16:48:12,1
159,1159,0,2017-01-07 17:09:44,1
160,1160,1,2017-01-07 18:36:49,1
161,1161,1,2017-01-07 18:38:37,1
162,1162,0,2017-06-19 16:42:43,5
163,1163,0,2017-01-07 19:09:30,1
164,1164,0,2017-01-31 18:09:56,4
165,1165,1,2017-04-11 14:43:28,3
166,1166,0,2017-04-06 22:19:06,3
167,1167,1,2017-01-20 17:54:59,3
168,1168,1,2017-03-22 21:20:03,2
169,1169,1,2017-01-08 01:07:59,1
170,1170,0,2017-01-08 01:17:33,1
171,1171,0,2017-01-08 02:07:25,1
172,1172,0,2017-01-08 04:39:59,1
173,1173,1,2017-01-08 14:36:08,1
174,1174,1,2017-01-08 15:57:43,1
175,1175,0,2017-10-10 01:42:13,2
176,1176,1,2017-02-11 17:04:51,2
177,1177,1,2017-01-08 17:46:11,1
178,1178,0,2017-01-08 18:37:48,1
179,1179,1,2017-01-23 01:27:32,2
180,1180,0,2017-01-12 01:20:59,2
181,1181,1,2017-01-08 21:47:00,1
182,1182,1,2017-01-08 22:19:34,1
183,1183,0,2017-01-08 22:52:06,1
184,1184,1,2017-01-08 23:16:30,1
185,1185,1,2017-01-09 00:12:05,1
186,1186,0,2017-05-11 15:29:01,12
187,1187,1,2017-01-09 01:36:07,1
188,1188,1,2017-05-13 00:03:41,3
189,1189,0,2017-07-10 09:06:17,2
190,1190,0,2017-01-09 03:18:44,1
191,1191,1,2017-01-09 04:56:31,1
192,1192,1,2017-02-22 05:44:05,3
193,1193,1,2017-01-12 16:38:04,2
194,1194,1,2017-01-20 18:07:20,2
195,1195,1,2017-01-09 11:34:16,1
196,1196,0,2017-01-09 15:01:59,1
197,1197,1,2017-12-13 15:23:00,3
198,1198,1,2017-01-09 17:05:09,1
199,1199,1,2017-01-09 17:19:24,1
200,1200,0,2017-01-09 17:37:06,1
201,1201,1,2017-01-09 17:47:56,1
202,1202,1,2017-01-09 18:33:03,1
