Version, 17.03
Date, 2017-11-09
Time, 12h12
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0199416 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.5098 , 28.0185 , 265.844 , -0.0192556 , -0.103483 , 0.206899 , 0.972684 , NephroGrasper , 1 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -97.0359 , -113.811 , 571.206 , -0.129028 , 0.313152 , 0.185774 , 0.922375 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0399762 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.2525 , 26.8277 , 265.515 , -0.0204958 , -0.102216 , 0.207105 , 0.972748 , NephroGrasper , 1 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -97.4864 , -112.356 , 571.003 , -0.127836 , 0.313177 , 0.183262 , 0.923035 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.060133 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.9049 , 25.6723 , 265.216 , -0.0218125 , -0.101101 , 0.207933 , 0.97266 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -97.7894 , -111.06 , 570.82 , -0.127136 , 0.313048 , 0.180864 , 0.923648 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0800992 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.3829 , 24.7351 , 264.927 , -0.0228218 , -0.100398 , 0.208573 , 0.972572 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.0485 , -109.972 , 570.696 , -0.127072 , 0.312906 , 0.178241 , 0.924215 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.099087 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.7845 , 24.0761 , 264.575 , -0.0231934 , -0.0999725 , 0.208656 , 0.972589 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.2148 , -108.972 , 570.587 , -0.126893 , 0.312725 , 0.17592 , 0.924745 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.120131 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.2308 , 23.4767 , 264.17 , -0.0234401 , -0.0994518 , 0.208663 , 0.972635 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.3062 , -107.86 , 570.41 , -0.12598 , 0.312462 , 0.17428 , 0.925269 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.141057 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.8069 , 22.7953 , 263.718 , -0.0237805 , -0.0986487 , 0.208623 , 0.972717 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.411 , -106.701 , 570.123 , -0.124365 , 0.312073 , 0.173018 , 0.925856 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.160211 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.4553 , 22.0023 , 263.328 , -0.0242964 , -0.097608 , 0.208486 , 0.972839 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.6497 , -105.902 , 569.948 , -0.122907 , 0.312087 , 0.172291 , 0.926181 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.180131 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.1378 , 21.0268 , 263.033 , -0.0251307 , -0.0963908 , 0.208526 , 0.972931 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.8388 , -105.374 , 569.789 , -0.121585 , 0.312085 , 0.172076 , 0.926396 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.200387 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.8774 , 19.9401 , 262.845 , -0.0261413 , -0.0948906 , 0.208307 , 0.973098 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.8829 , -105.259 , 569.662 , -0.120954 , 0.311883 , 0.172217 , 0.926521 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.220272 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -22.4196 , 18.9557 , 262.756 , -0.0269162 , -0.0938041 , 0.207918 , 0.973266 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.9117 , -105.38 , 569.588 , -0.120638 , 0.311735 , 0.172385 , 0.926581 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.240266 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -22.7196 , 18.0194 , 262.726 , -0.0277589 , -0.0931242 , 0.207293 , 0.973441 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.0196 , -105.575 , 569.63 , -0.120484 , 0.31193 , 0.172509 , 0.926512 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.26068 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -22.7152 , 17.1497 , 262.708 , -0.0285891 , -0.0930565 , 0.206264 , 0.973642 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.0996 , -105.871 , 569.701 , -0.120646 , 0.312141 , 0.172675 , 0.926389 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.279416 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -22.4725 , 16.4014 , 262.725 , -0.0294 , -0.093465 , 0.205428 , 0.973755 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.1777 , -106.116 , 569.773 , -0.120941 , 0.312331 , 0.172573 , 0.926305 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.299974 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -22.0893 , 15.6279 , 262.802 , -0.0305302 , -0.0940282 , 0.205245 , 0.973705 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.1035 , -106.153 , 569.695 , -0.121008 , 0.311991 , 0.172274 , 0.926467 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.320009 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.757 , 14.9759 , 262.894 , -0.0315596 , -0.0943612 , 0.205437 , 0.973599 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.9152 , -106.105 , 569.546 , -0.121011 , 0.311381 , 0.172122 , 0.9267 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.340764 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.3545 , 14.4991 , 263.006 , -0.0323772 , -0.0948663 , 0.205787 , 0.973449 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.7586 , -106.021 , 569.418 , -0.120863 , 0.310917 , 0.172264 , 0.926848 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.361109 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.0105 , 14.2065 , 263.103 , -0.0328996 , -0.0952697 , 0.206161 , 0.973313 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.6282 , -105.874 , 569.289 , -0.120656 , 0.310466 , 0.172124 , 0.927052 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.380214 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.7278 , 14.0224 , 263.154 , -0.0331503 , -0.0956372 , 0.206206 , 0.973259 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.5775 , -105.834 , 569.245 , -0.120664 , 0.310284 , 0.171932 , 0.927148 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.400331 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.542 , 13.8216 , 263.196 , -0.0334997 , -0.0959086 , 0.206439 , 0.973171 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.6514 , -105.762 , 569.268 , -0.120644 , 0.310391 , 0.171376 , 0.927218 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.420495 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.5523 , 13.4722 , 263.239 , -0.0341503 , -0.0957436 , 0.207012 , 0.973043 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.7532 , -105.629 , 569.281 , -0.120458 , 0.310517 , 0.170751 , 0.927315 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.441207 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.6952 , 13.1581 , 263.325 , -0.0345941 , -0.0953158 , 0.207317 , 0.973004 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.8053 , -105.411 , 569.225 , -0.120045 , 0.31045 , 0.170198 , 0.927493 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.459993 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.8023 , 12.8469 , 263.448 , -0.0350793 , -0.0950134 , 0.207567 , 0.972963 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -98.9068 , -105.223 , 569.195 , -0.119528 , 0.310537 , 0.169912 , 0.927583 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.479946 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.9112 , 12.4986 , 263.585 , -0.0357579 , -0.0946347 , 0.208333 , 0.972812 , NephroGrasper , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.032 , -105.184 , 569.211 , -0.119337 , 0.310691 , 0.169589 , 0.927615 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.500003 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.7754 , 12.1232 , 263.75 , -0.0366949 , -0.0947659 , 0.209367 , 0.972542 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.2099 , -105.385 , 569.322 , -0.11968 , 0.311089 , 0.169572 , 0.92744 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.519939 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.4597 , 11.7814 , 263.896 , -0.0376449 , -0.0954076 , 0.210124 , 0.97228 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.3714 , -105.663 , 569.448 , -0.120303 , 0.311481 , 0.169658 , 0.927212 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.539975 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.2431 , 11.4349 , 263.94 , -0.0386236 , -0.0957983 , 0.211083 , 0.971995 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.5898 , -105.87 , 569.563 , -0.120865 , 0.311915 , 0.169669 , 0.926992 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.559965 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.0808 , 11.2137 , 263.945 , -0.0392287 , -0.0961772 , 0.21159 , 0.971823 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -99.8148 , -105.947 , 569.612 , -0.121151 , 0.312245 , 0.169818 , 0.926816 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.580243 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.0894 , 11.0429 , 263.921 , -0.0395686 , -0.096249 , 0.211762 , 0.971765 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -100.116 , -105.971 , 569.689 , -0.121226 , 0.312758 , 0.170049 , 0.926591 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.600295 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.2348 , 10.8588 , 263.917 , -0.0398277 , -0.0959902 , 0.211935 , 0.971742 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -100.352 , -106.018 , 569.737 , -0.121489 , 0.313064 , 0.169919 , 0.926477 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.620058 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.3074 , 10.5916 , 263.97 , -0.0403492 , -0.0958519 , 0.212229 , 0.97167 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -100.742 , -106.138 , 569.911 , -0.121919 , 0.313828 , 0.169663 , 0.926208 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.640274 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.3012 , 10.3573 , 263.986 , -0.0407653 , -0.0959343 , 0.212347 , 0.971619 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -101.251 , -106.269 , 570.115 , -0.122315 , 0.31483 , 0.16972 , 0.925806 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.659142 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.3495 , 10.1306 , 263.892 , -0.0410669 , -0.0959509 , 0.212218 , 0.971633 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -101.735 , -106.404 , 570.257 , -0.122702 , 0.315671 , 0.1701 , 0.925398 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.680116 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.3966 , 9.87223 , 263.686 , -0.0413642 , -0.096105 , 0.211964 , 0.97166 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -102.307 , -106.47 , 570.385 , -0.1229 , 0.316615 , 0.170614 , 0.924955 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.700277 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -20.6752 , 9.47524 , 263.359 , -0.0418092 , -0.0956937 , 0.211525 , 0.971778 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -102.77 , -106.497 , 570.398 , -0.122956 , 0.317184 , 0.171428 , 0.924602 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.720222 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -21.0708 , 8.86165 , 263.004 , -0.0427478 , -0.0948871 , 0.211075 , 0.971914 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -103.049 , -106.523 , 570.299 , -0.123039 , 0.31727 , 0.172295 , 0.9244 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
