Version, 17.03
Date, 2017-11-09
Time, 12h57
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0186928 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.2944 , -9.39501 , 241.429 , -0.000327999 , 0.0292089 , -0.0764408 , 0.996646 , NephroGrasper , 1 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.0318 , -11.5577 , 268.744 , -0.000872388 , 0.0292988 , -0.0861398 , 0.995852 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.039605 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.415 , -9.33658 , 240.686 , -7.90561e-005 , 0.0296255 , -0.0768558 , 0.996602 , NephroGrasper , 1 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.1123 , -11.4801 , 267.975 , -0.000501292 , 0.0296543 , -0.0862881 , 0.995829 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0588501 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.5335 , -9.68054 , 239.92 , -0.000635502 , 0.0300022 , -0.0769885 , 0.99658 , NephroGrasper , 1 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.1613 , -11.7455 , 267.221 , -0.00097346 , 0.0298799 , -0.0867207 , 0.995784 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0797533 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.6184 , -10.2507 , 239.162 , -0.00173091 , 0.0303278 , -0.0770717 , 0.996563 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.2645 , -12.1849 , 266.451 , -0.00182847 , 0.0303532 , -0.0870564 , 0.995739 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.100516 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.5982 , -10.598 , 238.393 , -0.00230295 , 0.0304467 , -0.0771511 , 0.996552 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.2369 , -12.5182 , 265.693 , -0.00246343 , 0.0304202 , -0.0874955 , 0.995697 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.119879 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.5865 , -10.6511 , 237.576 , -0.00226985 , 0.0306723 , -0.0774967 , 0.996518 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.2206 , -12.6093 , 264.923 , -0.00254297 , 0.0306309 , -0.0878273 , 0.995661 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.139384 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.5064 , -10.6848 , 236.758 , -0.00227027 , 0.0307545 , -0.0778807 , 0.996486 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.1335 , -12.6632 , 264.153 , -0.00256873 , 0.0306654 , -0.0882143 , 0.995626 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.159442 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.4504 , -10.7895 , 235.893 , -0.00233304 , 0.0309694 , -0.0778743 , 0.996479 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.0377 , -12.7738 , 263.319 , -0.00268542 , 0.0308101 , -0.0886018 , 0.995587 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.179561 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.2383 , -11.1126 , 235.031 , -0.00269755 , 0.0309024 , -0.0778565 , 0.996482 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -12.8043 , -13.0831 , 262.513 , -0.00309214 , 0.0306707 , -0.0886826 , 0.995583 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.199803 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.8396 , -11.8199 , 234.178 , -0.00372248 , 0.030541 , -0.0779534 , 0.996482 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -12.4443 , -13.7102 , 261.694 , -0.00405155 , 0.030414 , -0.0881968 , 0.99563 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
