Version, 17.03
Date, 2017-11-09
Time, 11h26
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0201076 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.0487 , -9.84286 , 233.287 , -0.0569235 , -0.000944174 , 0.0359477 , 0.997731 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -12.8306 , -11.8766 , 232.493 , -0.056372 , -0.00715638 , -0.0702323 , 0.995911 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0401983 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.2407 , -10.8146 , 232.965 , -0.0584699 , -0.000649857 , 0.0367027 , 0.997614 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.1414 , -12.8228 , 232.165 , -0.0578666 , -0.00680277 , -0.0707095 , 0.995794 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0599988 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.5731 , -11.3004 , 232.794 , -0.0591902 , -0.000223698 , 0.0373407 , 0.997548 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.4481 , -13.3717 , 231.961 , -0.0587379 , -0.00655408 , -0.070833 , 0.995736 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0805163 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.77 , -11.4686 , 232.682 , -0.0593941 , -0.000270023 , 0.0375546 , 0.997528 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.673 , -13.5753 , 231.763 , -0.0589803 , -0.00655577 , -0.0706565 , 0.995734 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0997376 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.9957 , -11.3882 , 232.52 , -0.0591466 , -0.000234607 , 0.0373402 , 0.997551 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.8848 , -13.5531 , 231.484 , -0.0588283 , -0.00651154 , -0.0704177 , 0.99576 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.119894 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.1873 , -11.3406 , 232.221 , -0.0591718 , -1.292e-005 , 0.0374528 , 0.997545 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.0215 , -13.4959 , 231.1 , -0.0588332 , -0.006415 , -0.0703208 , 0.995767 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.140149 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.2021 , -11.0876 , 231.673 , -0.0589318 , -3.91688e-006 , 0.0373689 , 0.997562 , NephroGrasper , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.0021 , -13.2703 , 230.531 , -0.0586263 , -0.00646962 , -0.0701558 , 0.995791 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.15974 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.937 , -10.629 , 230.898 , -0.0584758 , -0.00042558 , 0.0372361 , 0.997594 , NephroGrasper , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.7946 , -12.8782 , 229.803 , -0.0582966 , -0.00672075 , -0.0700295 , 0.995817 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.179691 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.571 , -9.97335 , 229.99 , -0.0577505 , -0.0010956 , 0.0367625 , 0.997653 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.3988 , -12.1892 , 228.983 , -0.0574562 , -0.00730382 , -0.069492 , 0.9959 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.19994 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.5729 , -9.50811 , 229.133 , -0.0575468 , -0.000848401 , 0.0366475 , 0.99767 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -13.3589 , -11.6851 , 228.201 , -0.0572318 , -0.00706371 , -0.0689494 , 0.995952 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
