Version, 17.03
Date, 2017-09-15
Time, 14h00
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label4, Stone3, 3.40282e+038
Force Threshold, Label5, Stone4, 3.40282e+038
Force Threshold, Label6, Stone5, 3.40282e+038
Force Threshold, Label8, Stone7, 3.40282e+038
Force Threshold, Label16, Stone15, 3.40282e+038
Force Threshold, Label20, Stone19, 3.40282e+038
Number of materials, 7
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label4_Stone3, CumTimeLeftForceOverThreshold_label5_Stone4, CumTimeLeftForceOverThreshold_label6_Stone5, CumTimeLeftForceOverThreshold_label8_Stone7, CumTimeLeftForceOverThreshold_label16_Stone15, CumTimeLeftForceOverThreshold_label20_Stone19, Label1_Kidney_TouchedByLeft, Label4_Stone3_TouchedByLeft, Label5_Stone4_TouchedByLeft, Label6_Stone5_TouchedByLeft, Label8_Stone7_TouchedByLeft, Label16_Stone15_TouchedByLeft, Label20_Stone19_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label4_Stone3, CumTimeRightForceOverThreshold_label5_Stone4, CumTimeRightForceOverThreshold_label6_Stone5, CumTimeRightForceOverThreshold_label8_Stone7, CumTimeRightForceOverThreshold_label16_Stone15, CumTimeRightForceOverThreshold_label20_Stone19, Label1_Kidney_TouchedByRight, Label4_Stone3_TouchedByRight, Label5_Stone4_TouchedByRight, Label6_Stone5_TouchedByRight, Label8_Stone7_TouchedByRight, Label16_Stone15_TouchedByRight, Label20_Stone19_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel4_Stone3, Volume_ofLabel5_Stone4, Volume_ofLabel6_Stone5, Volume_ofLabel8_Stone7, Volume_ofLabel16_Stone15, Volume_ofLabel20_Stone19
0.0201827 , NephroscopeWithOneChannel , 0 , 0 , 0.162602 , 0.0201827 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.9143 , -10.0893 , 202.218 , -0.0621995 , 0.0333353 , -0.0764295 , 0.994575 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.0406335 , NephroscopeWithOneChannel , 0 , 0 , 0.356901 , 0.0406335 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.6937 , -10.2736 , 199.429 , -0.0574932 , 0.0214829 , -0.0758076 , 0.995232 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.0603371 , NephroscopeWithOneChannel , 0 , 0 , 0.619332 , 0.0603371 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.496 , -10.5759 , 196.25 , -0.0536722 , 0.0114213 , -0.0746845 , 0.995696 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.0802407 , NephroscopeWithOneChannel , 0 , 0 , 0.856824 , 0.0802407 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.3752 , -10.7387 , 193.473 , -0.0497064 , 0.00631173 , -0.0820258 , 0.99537 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.101303 , NephroscopeWithOneChannel , 0 , 0 , 0.928515 , 0.101303 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.5389 , -10.8605 , 191.577 , -0.0506462 , 0.00698512 , -0.0904753 , 0.994586 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.120718 , NephroscopeWithOneChannel , 0 , 0 , 0.96208 , 0.120718 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -17.9162 , -10.972 , 190.593 , -0.0502993 , 0.0129916 , -0.0996369 , 0.993667 , NephroGrasper , 1 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.139814 , NephroscopeWithOneChannel , 0 , 0 , 0.975071 , 0.139814 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -18.3404 , -11.0754 , 190.309 , -0.0550002 , 0.0226945 , -0.105167 , 0.992673 , NephroGrasper , 0 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.159771 , NephroscopeWithOneChannel , 0 , 0 , 0.999869 , 0.159771 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -18.5901 , -11.0433 , 190.438 , -0.0582978 , 0.0284618 , -0.106652 , 0.992178 , NephroGrasper , 0 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.181197 , NephroscopeWithOneChannel , 0 , 0 , 0.999736 , 0.181197 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -18.5844 , -11.1394 , 190.134 , -0.0600448 , 0.0294313 , -0.103919 , 0.992335 , NephroGrasper , 0 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.939 , -318.595 , 306.611 , 0.650877 , 0.24672 , 0.635419 , 0.334261 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
0.20096 , NephroscopeWithOneChannel , 0 , 0 , 0.946413 , 0.20096 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -18.4806 , -11.2033 , 189.886 , -0.0582902 , 0.0258237 , -0.105449 , 0.992379 , NephroGrasper , 0 , 0.56305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 104.95 , -318.527 , 306.537 , 0.650805 , 0.246532 , 0.635492 , 0.334403 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.3293 , 0.00761778 , 0.00769345 , 0.00820417 , 0.00369324 , 0.00633122 , 0.0074226 , 
