Version, 17.03
Date, 2017-11-08
Time, 09h38
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0188616 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -15.3154 , -13.3264 , 232.503 , -0.0683932 , 0.0128307 , -0.139583 , 0.987762 , NephroGrasper , 1 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.9782 , -12.6704 , 251.481 , -0.063015 , 0.0288951 , 0.104442 , 0.992112 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0386148 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.0915 , -13.6499 , 232.608 , -0.0694904 , 0.0144625 , -0.14004 , 0.987598 , NephroGrasper , 1 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -15.7105 , -13.0116 , 251.597 , -0.0638711 , 0.0308216 , 0.102977 , 0.992152 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0589214 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.9283 , -14.1673 , 232.786 , -0.0709507 , 0.0163237 , -0.140394 , 0.987415 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.4439 , -13.4294 , 251.774 , -0.0647181 , 0.0327774 , 0.101235 , 0.992214 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0792125 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.4978 , -14.808 , 233.035 , -0.0725104 , 0.0175715 , -0.140375 , 0.987283 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.9681 , -14.0319 , 252.019 , -0.0660254 , 0.0342729 , 0.0995477 , 0.992248 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0979638 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.9775 , -15.5377 , 233.35 , -0.0741212 , 0.0186723 , -0.139974 , 0.9872 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.4216 , -14.7478 , 252.311 , -0.0675256 , 0.0356252 , 0.0973898 , 0.992314 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.118944 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.4601 , -16.2119 , 233.645 , -0.07565 , 0.019878 , -0.139513 , 0.987126 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.8752 , -15.4137 , 252.571 , -0.0689275 , 0.037054 , 0.0953003 , 0.992368 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.139009 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.6898 , -16.717 , 233.825 , -0.0769018 , 0.0205835 , -0.139141 , 0.987067 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.0747 , -15.878 , 252.697 , -0.0700372 , 0.0378755 , 0.0936222 , 0.992419 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.158913 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.5508 , -16.9198 , 233.884 , -0.0774422 , 0.0204255 , -0.139208 , 0.987019 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.9477 , -16.0884 , 252.677 , -0.0706841 , 0.0378386 , 0.0928261 , 0.992449 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.178522 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.3331 , -16.666 , 233.744 , -0.0771018 , 0.020195 , -0.139535 , 0.987004 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.727 , -15.8347 , 252.505 , -0.0703201 , 0.0374965 , 0.0929376 , 0.992478 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.198541 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.1636 , -16.0274 , 233.419 , -0.0761148 , 0.0201647 , -0.139888 , 0.987032 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.5979 , -15.3059 , 252.192 , -0.0695243 , 0.0374421 , 0.0938422 , 0.992451 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.218606 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.1367 , -15.4598 , 232.996 , -0.0755147 , 0.0203574 , -0.139898 , 0.987072 , NephroGrasper , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.5575 , -14.7345 , 251.797 , -0.0688214 , 0.0375005 , 0.0943937 , 0.992445 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.239608 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.3643 , -15.0269 , 232.495 , -0.0753664 , 0.021048 , -0.139428 , 0.987136 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.7464 , -14.2906 , 251.331 , -0.0684919 , 0.0380385 , 0.0940703 , 0.992478 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.259179 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.7771 , -14.7496 , 232.001 , -0.0755551 , 0.0221171 , -0.138786 , 0.987188 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.1085 , -13.9814 , 250.868 , -0.0684287 , 0.0390003 , 0.0932731 , 0.99252 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.27911 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.155 , -14.5015 , 231.532 , -0.0757685 , 0.0231042 , -0.138309 , 0.987216 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.47 , -13.7787 , 250.421 , -0.0685987 , 0.0400249 , 0.0926154 , 0.992529 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.298652 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.3492 , -14.1225 , 231.055 , -0.0756297 , 0.0236778 , -0.138038 , 0.987251 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.7272 , -13.4016 , 249.975 , -0.0683113 , 0.0407677 , 0.0921572 , 0.992562 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.31878 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.359 , -13.4611 , 230.532 , -0.0748573 , 0.0240137 , -0.13794 , 0.987316 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.7317 , -12.8315 , 249.524 , -0.0676863 , 0.0409559 , 0.0922597 , 0.992587 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.338772 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -19.1923 , -12.7605 , 230.028 , -0.0740679 , 0.0241009 , -0.137584 , 0.987423 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.5101 , -12.1144 , 249.081 , -0.0667801 , 0.040663 , 0.0924129 , 0.992646 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.359744 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.8199 , -12.0609 , 229.539 , -0.0732282 , 0.023669 , -0.137288 , 0.987537 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.1033 , -11.4002 , 248.641 , -0.065925 , 0.0398825 , 0.092969 , 0.992683 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.379049 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.3686 , -11.4415 , 229.091 , -0.0724186 , 0.0229783 , -0.137365 , 0.987602 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.6342 , -10.7489 , 248.235 , -0.0651319 , 0.0389368 , 0.0938786 , 0.992688 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.398786 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.0484 , -10.8589 , 228.648 , -0.0715475 , 0.0225281 , -0.137906 , 0.987601 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.2899 , -10.1804 , 247.834 , -0.0643306 , 0.0383095 , 0.0951223 , 0.992646 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.419177 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.6632 , -10.3189 , 228.164 , -0.0705687 , 0.0217852 , -0.138364 , 0.987624 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.0449 , -9.62221 , 247.379 , -0.0633213 , 0.0377761 , 0.0960983 , 0.992637 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.438478 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.3444 , -9.89106 , 227.613 , -0.0696402 , 0.0210653 , -0.138818 , 0.987642 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.7593 , -9.24236 , 246.881 , -0.0626581 , 0.0369474 , 0.0966513 , 0.992657 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.457966 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.2829 , -9.56721 , 226.995 , -0.0687702 , 0.020832 , -0.139195 , 0.987654 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.7465 , -8.91567 , 246.317 , -0.0617565 , 0.0366714 , 0.0967039 , 0.992718 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.477959 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.6403 , -9.42881 , 226.411 , -0.0681655 , 0.021409 , -0.139624 , 0.987623 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.0584 , -8.8239 , 245.73 , -0.0610846 , 0.0370284 , 0.096839 , 0.992733 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.49943 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.9983 , -8.19916 , 225.593 , -0.0635654 , 0.0192302 , -0.14008 , 0.987911 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.4847 , -7.75531 , 245.102 , -0.0571857 , 0.0338716 , 0.0977255 , 0.992992 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.518557 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.5909 , -7.39353 , 224.969 , -0.061392 , 0.0155767 , -0.141202 , 0.987953 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.1141 , -7.07641 , 244.556 , -0.0544163 , 0.0315381 , 0.0986369 , 0.993134 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.538587 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.2812 , -6.93172 , 224.475 , -0.0594687 , 0.0153272 , -0.142098 , 0.987946 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -15.8572 , -6.66952 , 244.085 , -0.0529725 , 0.0304181 , 0.098609 , 0.99325 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.558708 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.0677 , -6.80206 , 224.165 , -0.0612711 , 0.0159111 , -0.142347 , 0.987791 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -15.6314 , -6.55529 , 243.798 , -0.0527851 , 0.0303591 , 0.0990532 , 0.993217 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.578545 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.0289 , -6.95291 , 224.05 , -0.0619517 , 0.0197506 , -0.14242 , 0.987668 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -15.572 , -6.66239 , 243.712 , -0.0533002 , 0.0315864 , 0.100381 , 0.993018 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
